videoId,authorDisplayName,publishedAt,updatedAt,likeCount,totalReplyCount,textDisplay,textStopWordsRemoved,textTokenized,textLemmatized,pos,posTag,posDependency,posShape,posAlpha,posStopWord,textEntityType
rDxrpSqYHD8,@silveriver9,2023-11-01 16:09:58+00:00,2023-11-01 16:10:43+00:00,4,4,first now where is lei wulong,lei wulong,"['lei', 'wulong']","['lei', 'wulong']","['PROPN', 'NOUN']","['NNP', 'NN']","['compound', 'ROOT']","['xxx', 'xxxx']","[True, True]","[False, False]","['', '']"
rDxrpSqYHD8,@faizaanjaved7150,2023-11-01 16:10:05+00:00,2023-11-01 16:10:05+00:00,1,1,already seen it you are getting less views now bamco,seen getting views bamco,"['seen', 'getting', 'views', 'bamco']","['see', 'get', 'view', 'bamco']","['VERB', 'VERB', 'NOUN', 'NOUN']","['VBN', 'VBG', 'NNS', 'NNS']","['ROOT', 'xcomp', 'dobj', 'dobj']","['xxxx', 'xxxx', 'xxxx', 'xxxx']","[True, True, True, True]","[False, False, False, False]","['', '', '', '']"
rDxrpSqYHD8,@TS-rw4lk,2023-11-01 16:10:05+00:00,2023-11-01 16:10:05+00:00,0,0,wow,wow,['wow'],['wow'],['INTJ'],['UH'],['ROOT'],['xxx'],[True],[False],['']
rDxrpSqYHD8,@ALONCAK,2023-11-01 16:10:06+00:00,2023-11-01 16:10:06+00:00,0,0,oww yeaah,oww yeaah,"['oww', 'yeaah']","['oww', 'yeaah']","['PROPN', 'PROPN']","['NNP', 'NNP']","['compound', 'ROOT']","['xxx', 'xxxx']","[True, True]","[False, False]","['PERSON', 'PERSON']"
rDxrpSqYHD8,@Rough_Estimates,2023-11-01 16:10:06+00:00,2023-11-01 16:10:06+00:00,135,14,i hope we get an angel version of jin,hope angel version jin,"['hope', 'angel', 'version', 'jin']","['hope', 'angel', 'version', 'jin']","['PROPN', 'PROPN', 'PROPN', 'PROPN']","['NNP', 'NNP', 'NNP', 'NNP']","['compound', 'compound', 'compound', 'ROOT']","['xxxx', 'xxxx', 'xxxx', 'xxx']","[True, True, True, True]","[False, False, False, False]","['', '', '', '']"
rDxrpSqYHD8,@kazamataurus337,2023-11-01 16:10:08+00:00,2023-11-01 16:10:08+00:00,1,0,so it begins,begins,['begins'],['begin'],['VERB'],['VBZ'],['ROOT'],['xxxx'],[True],[False],['']
rDxrpSqYHD8,@XKAMIKAZEEX,2023-11-01 16:10:10+00:00,2023-11-01 16:10:10+00:00,0,0,let us go,let,['let'],['let'],['VERB'],['VB'],['ROOT'],['xxx'],[True],[False],['']
rDxrpSqYHD8,@bluefacebaby4167,2023-11-01 16:10:10+00:00,2023-11-01 16:10:10+00:00,1,0,miguel waiting room right here,miguel waiting room right,"['miguel', 'waiting', 'room', 'right']","['miguel', 'waiting', 'room', 'right']","['PROPN', 'NOUN', 'NOUN', 'ADV']","['NNP', 'NN', 'NN', 'RB']","['compound', 'compound', 'ROOT', 'advmod']","['xxxx', 'xxxx', 'xxxx', 'xxxx']","[True, True, True, True]","[False, False, False, False]","['', '', '', '']"
rDxrpSqYHD8,@subzerodark,2023-11-01 16:10:11+00:00,2023-11-01 16:10:11+00:00,1,0,wow,wow,['wow'],['wow'],['INTJ'],['UH'],['ROOT'],['xxx'],[True],[False],['']
rDxrpSqYHD8,@therealwnd1820,2023-11-01 16:10:13+00:00,2023-11-01 16:10:13+00:00,0,0,yo,yo,['yo'],['yo'],['PROPN'],['NNP'],['ROOT'],['xx'],[True],[False],['']
rDxrpSqYHD8,@voltreo,2023-11-01 16:10:14+00:00,2023-11-01 16:10:26+00:00,3,0,marvelous ,marvelous,['marvelous'],['marvelous'],['ADJ'],['JJ'],['ROOT'],['xxxx'],[True],[False],['']
rDxrpSqYHD8,@tinikomindo6697,2023-11-01 16:10:17+00:00,2023-11-01 16:10:17+00:00,1,0,too late bandai,late bandai,"['late', 'bandai']","['late', 'bandai']","['PROPN', 'PROPN']","['NNP', 'NNP']","['amod', 'ROOT']","['xxxx', 'xxxx']","[True, True]","[False, False]","['', '']"
