videoId,authorDisplayName,publishedAt,updatedAt,likeCount,totalReplyCount,textDisplay
rDxrpSqYHD8,@silveriver9,2023-11-01 16:09:58+00:00,2023-11-01 16:10:43+00:00,4,4,First. Now where is LEI WULONG?!
rDxrpSqYHD8,@faizaanjaved7150,2023-11-01 16:10:05+00:00,2023-11-01 16:10:05+00:00,1,1,Already seen it. Ur getting less view&#39;s now bamco
rDxrpSqYHD8,@TS-rw4lk,2023-11-01 16:10:05+00:00,2023-11-01 16:10:05+00:00,0,0,wow
rDxrpSqYHD8,@ALONCAK,2023-11-01 16:10:06+00:00,2023-11-01 16:10:06+00:00,0,0,Oww yeaah
rDxrpSqYHD8,@Rough_Estimates,2023-11-01 16:10:06+00:00,2023-11-01 16:10:06+00:00,150,18,I hope we get an angel version of Jin
rDxrpSqYHD8,@kazamataurus337,2023-11-01 16:10:08+00:00,2023-11-01 16:10:08+00:00,1,0,So it begins!!!
rDxrpSqYHD8,@bluefacebaby4167,2023-11-01 16:10:10+00:00,2023-11-01 16:10:10+00:00,1,0,Miguel waiting room right here.
rDxrpSqYHD8,@XKAMIKAZEEX,2023-11-01 16:10:11+00:00,2023-11-01 16:10:11+00:00,0,0,LET&#39;S GO
rDxrpSqYHD8,@subzerodark,2023-11-01 16:10:11+00:00,2023-11-01 16:10:11+00:00,1,0,Wow
rDxrpSqYHD8,@therealwnd1820,2023-11-01 16:10:14+00:00,2023-11-01 16:10:14+00:00,0,0,Yo
rDxrpSqYHD8,@voltreo,2023-11-01 16:10:14+00:00,2023-11-01 16:10:26+00:00,3,0,MARVELOUS! 🌹
rDxrpSqYHD8,@tinikomindo6697,2023-11-01 16:10:17+00:00,2023-11-01 16:10:17+00:00,1,0,Too late Bandai😂
rDxrpSqYHD8,@raiyyanzakir3898,2023-11-01 16:10:18+00:00,2023-11-01 16:10:18+00:00,0,0,Very excitement
rDxrpSqYHD8,@ultrascorpionx5022,2023-11-01 16:10:19+00:00,2023-11-01 16:10:19+00:00,1,0,Marvelous 🌹
rDxrpSqYHD8,@xFaisal_HK,2023-11-01 16:10:23+00:00,2023-11-01 16:10:23+00:00,1174,23,"The more new trailers drop, the more excited I get for the game!"
rDxrpSqYHD8,@cameronsmythe7873,2023-11-01 16:10:25+00:00,2023-11-01 16:10:25+00:00,0,0,We need the rest of the trailers mfs where are they 🤨🤨🤨🧐🧐
rDxrpSqYHD8,@bankaijutsu17,2023-11-01 16:10:26+00:00,2023-11-01 16:10:26+00:00,4,0,The only reason I&#39;m getting a PS5
rDxrpSqYHD8,@carlosalbertozaratecarrill7524,2023-11-01 16:10:29+00:00,2023-11-01 16:10:29+00:00,0,0,Primer comentario😮
rDxrpSqYHD8,@SwizzleSwish,2023-11-01 16:10:38+00:00,2023-11-01 16:13:34+00:00,1,1,"Legends?, shiiet throw my Lei in there 1st 🍺"
rDxrpSqYHD8,@SuperSoliderXZ,2023-11-01 16:10:38+00:00,2023-11-01 16:10:38+00:00,158,2,"I was about to say MORE CHARACTERS! , BANDAI DOING TOO MUCH KEEP GOING WE LOVE IT"
rDxrpSqYHD8,@RokuDB,2023-11-01 16:10:42+00:00,2023-11-01 16:10:42+00:00,168,19,Best fighting game franchise
rDxrpSqYHD8,@shadowclonemaster,2023-11-01 16:10:43+00:00,2023-11-01 16:10:43+00:00,10,0,I do want to see Steve in action at some point
rDxrpSqYHD8,@SFMoiz,2023-11-01 16:10:54+00:00,2023-11-01 16:10:54+00:00,136,12,Yoshimitsu not getting his own trailer is a crime!
